Datetime EST HB,Datetime EST HE,Datetime GMT HB,Date GMT,HB GMT,Mango Readable,20,"Bid Amount
","TAIT
MW Out Unplanned",Mango Readable,Mango Readable,Mango Readable,Mango Readable,"TAIT
MW Out Planned",Comments,"PJM Accepted Availability
mwh_available","energy_losses
(MWh)","energy_cost
$","gross_revenue
[RMCP Revenue]
$","other_charge
$",potential_revenue,revenue_capture,Latest Update,"
hrly_dam_reg_mcp
[(RMCCP+RMPCP) x BF]
$","
Injections
MWh","Reprocess
Data From",RMCCP,RMPCP,Benefits Factor,Hrly Perf Score
2/3/2015 1:00:00,2/3/2015 2:00:00,2/3/2015 6:00:00,2/3/2015,6,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-2.0000,-54.42,289.81485,,397.00,73.00%,,53.45106644,,,10.7,2.21,4.140284,0.912514
2/3/2015 2:00:00,2/3/2015 3:00:00,2/3/2015 7:00:00,2/3/2015,7,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,1.0000,26.73,329.9240388,,440.18,74.95%,,45.0640236,,,8.32,3.63,3.771048,0.936905
2/3/2015 3:00:00,2/3/2015 4:00:00,2/3/2015 8:00:00,2/3/2015,8,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-1.0000,-26.76,298.2026818,,389.37,76.59%,,24.52114152,,,10,6.29,1.505288,0.957336
2/3/2015 4:00:00,2/3/2015 5:00:00,2/3/2015 9:00:00,2/3/2015,9,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-1.0000,-27.03,398.3323016,,635.66,62.66%,,95.7257436,,,19.25,2.9,4.321704,0.783306
2/3/2015 5:00:00,2/3/2015 6:00:00,2/3/2015 10:00:00,2/3/2015,10,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-2.0000,-55.54,467.7177055,,733.01,63.81%,,76.43052576,,,25.83,4.26,2.540064,0.797594
2/3/2015 6:00:00,2/3/2015 7:00:00,2/3/2015 11:00:00,2/3/2015,11,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,0.0000,0,347.4568391,,529.23,65.65%,,97.8428156,,,23.56,0.72,4.02977,0.820668
2/3/2015 7:00:00,2/3/2015 8:00:00,2/3/2015 12:00:00,2/3/2015,12,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,0.0000,0,306.3852272,,411.04,74.54%,,39.13330363,,,17.77,1.36,2.045651,0.931734
2/3/2015 8:00:00,2/3/2015 9:00:00,2/3/2015 13:00:00,2/3/2015,13,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-1.0000,-31.52,248.5788922,,342.97,72.48%,,32.82675405,,,13.94,1.51,2.124709,0.905989
2/3/2015 9:00:00,2/3/2015 10:00:00,2/3/2015 14:00:00,2/3/2015,14,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-1.0000,-31.6,118.7537214,,146.60,81.01%,,10.24651198,,,4.58,1.68,1.636823,0.953021
2/3/2015 10:00:00,2/3/2015 11:00:00,2/3/2015 15:00:00,2/3/2015,15,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,0.0000,0,372.1832987,,479.44,77.63%,,68.74590608,,,23.77,0.07,2.883637,0.913285
2/3/2015 11:00:00,2/3/2015 12:00:00,2/3/2015 16:00:00,2/3/2015,16,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-1.0000,-29.17,364.3201814,,453.82,80.28%,,51.424995,,,13.66,2.91,3.1035,0.944446
2/3/2015 12:00:00,2/3/2015 13:00:00,2/3/2015 17:00:00,2/3/2015,17,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-1.0000,-27.08,351.9018459,,437.51,80.43%,,36.83624826,,,10.82,4.64,2.382681,0.946263
2/3/2015 13:00:00,2/3/2015 14:00:00,2/3/2015 18:00:00,2/3/2015,18,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,0.0000,0,345.3921701,,430.49,80.23%,,51.3618072,,,11.85,2.75,3.517932,0.943918
2/3/2015 14:00:00,2/3/2015 15:00:00,2/3/2015 19:00:00,2/3/2015,19,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-1.0000,-25.44,456.4199674,,575.27,79.34%,,53.04319923,,,15.7,5.13,2.546481,0.933415
2/3/2015 15:00:00,2/3/2015 16:00:00,2/3/2015 20:00:00,2/3/2015,20,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,0.0000,0,352.9192806,,457.70,77.11%,,51.7527016,,,13.32,3.02,3.16724,0.90714
2/3/2015 16:00:00,2/3/2015 17:00:00,2/3/2015 21:00:00,2/3/2015,21,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-1.0000,-27.22,312.1723489,,391.67,79.70%,,74.5092354,,,12.91,1.27,5.25453,0.937693
2/3/2015 17:00:00,2/3/2015 18:00:00,2/3/2015 22:00:00,2/3/2015,22,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-1.0000,-36.1,340.3384545,,423.18,80.42%,,51.05553816,,,17.75,1.27,2.684308,0.946162
2/3/2015 18:00:00,2/3/2015 19:00:00,2/3/2015 23:00:00,2/3/2015,23,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-2.0000,-73.84,326.8655964,,411.89,79.36%,,37.17213642,,,17.37,1.65,1.954371,0.933608
2/3/2015 19:00:00,2/3/2015 20:00:00,2/4/2015 0:00:00,2/4/2015,0,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,1.0000,29.45,382.6851438,,469.18,81.56%,,48.16030185,,,21,1.13,2.176245,0.959578
2/3/2015 20:00:00,2/3/2015 21:00:00,2/4/2015 1:00:00,2/4/2015,1,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-2.0000,-63.06,1117.769566,,"1,365.23",81.87%,,146.2535557,,,56.04,5.11,2.391718,0.963222
2/3/2015 21:00:00,2/3/2015 22:00:00,2/4/2015 2:00:00,2/4/2015,2,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,0.0000,0,573.3036316,,707.59,81.02%,,53.62783335,,,15.43,9.14,2.182655,0.953201
2/3/2015 22:00:00,2/3/2015 23:00:00,2/4/2015 3:00:00,2/4/2015,3,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-1.0000,-25.24,447.6377035,,551.00,81.24%,,61.23138686,,,19.58,2.93,2.720186,0.955771
2/3/2015 23:00:00,2/4/2015 0:00:00,2/4/2015 4:00:00,2/4/2015,4,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,0.0000,0,540.3653762,,664.52,81.32%,,79.7505918,,,23.8,3.19,2.95482,0.95667
2/4/2015 0:00:00,2/4/2015 1:00:00,2/4/2015 5:00:00,2/4/2015,5,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-2.0000,-51.12,273.2484377,,360.99,75.69%,,32.62817674,,,9.73,3.33,2.498329,0.890523
