Datetime EST HB,Datetime EST HE,Datetime GMT HB,Date GMT,HB GMT,Mango Readable,Mango Readable,Mango Readable,Mango Readable,Mango Readable,"MW
Online",Bid Amount,"Laurel Mountain
MW Out Unplanned","Laurel Mountain
MW Out Planned",Comments,"PJM Accepted Availability
mwh_available","energy_losses
(MWh)","energy_cost
$","gross_revenue
[RMCP Revenue]
$","other_charge
$",potential_revenue,revenue_capture,Latest Update,"hrly_dam_reg_mcp
[(RMCCP+RMPCP) x BF]
$","Injections
MWh","Reprocess
Data From",RMCCP,RMPCP,Benefits Factor,Hrly Perf Score
3/1/2015 5:00:00,3/1/2015 6:00:00,3/1/2015 10:00:00,3/1/2015,10,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-3,-159.93,1949.781346,,"2,091.28",93.23%,,110.73291128,,,39.83,11.93,2.139353,0.932339
3/1/2015 6:00:00,3/1/2015 7:00:00,3/1/2015 11:00:00,3/1/2015,11,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,0,0,2948.389092,,"3,151.05",93.57%,,228.492936,,,77.89,7.71,2.66931,0.935684
3/1/2015 7:00:00,3/1/2015 8:00:00,3/1/2015 12:00:00,3/1/2015,12,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-3,-159.99,1566.379465,,"1,651.96",94.82%,,117.4138745,,,39.56,4.53,2.66305,0.948197
3/1/2015 8:00:00,3/1/2015 9:00:00,3/1/2015 13:00:00,3/1/2015,13,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,3,152.16,1343.393742,,"1,422.45",94.44%,,112.11513501,,,35.15,3.18,2.924997,0.944424
3/1/2015 9:00:00,3/1/2015 10:00:00,3/1/2015 14:00:00,3/1/2015,14,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-4,-450.04,3186.113891,,"3,619.44",88.03%,,305.79304,,,111.36,0.64,2.730295,0.880279
3/1/2015 10:00:00,3/1/2015 11:00:00,3/1/2015 15:00:00,3/1/2015,15,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,0,0,4908.192174,,"5,154.38",95.22%,,335.93565824,,,139.78,9.46,2.250976,0.952238
3/1/2015 11:00:00,3/1/2015 12:00:00,3/1/2015 16:00:00,3/1/2015,16,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-2,-493.68,8137.102457,,"8,656.10",94.00%,,617.31833321,,,253.82,7.05,2.366383,0.940043
3/1/2015 12:00:00,3/1/2015 13:00:00,3/1/2015 17:00:00,3/1/2015,17,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-1,-145.53,2319.872803,,"2,423.18",95.74%,,165.12178348,,,60.63,6.1,2.474476,0.957368
3/1/2015 13:00:00,3/1/2015 14:00:00,3/1/2015 18:00:00,3/1/2015,18,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-1,-63.98,1802.583402,,"2,063.72",87.35%,,336.77142681,,,43.52,2.89,7.256441,0.873465
3/1/2015 14:00:00,3/1/2015 15:00:00,3/1/2015 19:00:00,3/1/2015,19,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-1,-60.58,1524.879393,,"1,620.48",94.10%,,96.83060284,,,29.03,8.34,2.591132,0.941004
