,Datetime EST HE,Datetime GMT HB,Date GMT,HB GMT,Mango Readable,20,"Bid Amount
","TAIT
MW Out Unplanned",Mango Readable,Mango Readable,Mango Readable,Mango Readable,"TAIT
MW Out Planned",Comments,"PJM Accepted Availability
mwh_available","energy_losses
(MWh)","energy_cost
$","gross_revenue
[RMCP Revenue]
$","other_charge
$",potential_revenue,revenue_capture,Latest Update,"
hrly_dam_reg_mcp
[(RMCCP+RMPCP) x BF]
$","
Injections
MWh","Reprocess
Data From",RMCCP,RMPCP,Benefits Factor,Hrly Perf Score
4/3/2014 23:00:00,4/4/2014 0:00:00,4/4/2014 4:00:00,4/4/2014,4,TAITsched:20000,20,20,0,TAITbid:20000,TAITUnscheduled:0,TAITPlanned:0,TAITSettled:20000,0,,20,-4.0000,-117.44,641.0703227,,1427.6740432,0.44903129377004,,387.14084178,,,24.31,1.52,6.081383,0.95529
4/4/2014 0:00:00,4/4/2014 1:00:00,4/4/2014 5:00:00,4/4/2014,5,TAITsched:20000,20,20,0,TAITbid:20000,TAITUnscheduled:0,TAITPlanned:0,TAITSettled:20000,0,,20,2.0000,53.34,1007.003364,,842.0780624,1.19585512194671,,86.23848933,,,36.06,6.32,2.815491,0.93494
4/4/2014 1:00:00,4/4/2014 2:00:00,4/4/2014 6:00:00,4/4/2014,6,TAITsched:20000,20,20,0,TAITbid:20000,TAITUnscheduled:0,TAITPlanned:0,TAITSettled:20000,0,,20,-1.0000,-28.3,99.31027153,,763.9041012,0.130003584709122,,70.27281078,,,3.15,1.13,1.889562,0.939512
4/4/2014 2:00:00,4/4/2014 3:00:00,4/4/2014 7:00:00,4/4/2014,7,TAITsched:20000,20,20,0,TAITbid:20000,TAITUnscheduled:0,TAITPlanned:0,TAITSettled:20000,0,,20,0.0000,0,443.1437489,,113.8173824,3.89346283982015,,8.79378922,,,20.19,1.28,1.985054,0.974762
4/4/2014 3:00:00,4/4/2014 4:00:00,4/4/2014 8:00:00,4/4/2014,8,TAITsched:20000,20,20,0,TAITbid:20000,TAITUnscheduled:0,TAITPlanned:0,TAITSettled:20000,0,,20,-1.0000,-28.46,371.1141989,,463.355568,0.800927461607627,,53.07889998,,,16.17,1.2,2.481482,0.969079
4/4/2014 4:00:00,4/4/2014 5:00:00,4/4/2014 9:00:00,4/4/2014,9,TAITsched:20000,20,20,0,TAITbid:20000,TAITUnscheduled:0,TAITPlanned:0,TAITSettled:20000,0,,20,-2.0000,-60.1,115.8680009,,374.880675,0.309079684889065,,34.8392475,,,3.37,1.29,1.995375,0.974658
4/4/2014 5:00:00,4/4/2014 6:00:00,4/4/2014 10:00:00,4/4/2014,10,TAITsched:20000,20,20,0,TAITbid:20000,TAITUnscheduled:0,TAITPlanned:0,TAITSettled:20000,0,,20,-2.0000,-62.86,642.8796187,,186.7455138,3.44254384278548,,16.07266216,,,26.91,1.99,2.998631,0.977696
4/4/2014 6:00:00,4/4/2014 7:00:00,4/4/2014 11:00:00,4/4/2014,11,TAITsched:20000,20,20,0,TAITbid:20000,TAITUnscheduled:0,TAITPlanned:0,TAITSettled:20000,0,,20,-1.0000,-57.47,1625.769072,,949.627776,1.71200665470004,,78.23556303,,,62.86,9.6,2.142853,0.974315
4/4/2014 7:00:00,4/4/2014 8:00:00,4/4/2014 12:00:00,4/4/2014,12,TAITsched:20000,20,20,0,TAITbid:20000,TAITUnscheduled:0,TAITPlanned:0,TAITSettled:20000,0,,20,-2.0000,-77.98,584.8172078,,1354.8838384,0.431636418728426,,256.54017888,,,27.35,1.22,4.003436,0.907138
4/4/2014 8:00:00,4/4/2014 9:00:00,4/4/2014 13:00:00,4/4/2014,13,TAITsched:18000,18,18,0,TAITbid:18000,TAITUnscheduled:0,TAITPlanned:2000,TAITSettled:18000,2,Maintenance,18,1.0000,39.04,1396.576974,,715.385472,1.95220203465356,,62.2200056,,,70.17,4.28,1.96712,0.888529
